Ｕターン,ユーターン
増ページ,ゾウページ
ハート形,ハートガタ
ヤール幅,ヤールハバ
ダーツ分,ダーツブン
マレー人,マレージン
ボーア人,ボーアジン
大スター,ダイスター
キー局,キーキョク
Ｖリーグ,ブイリーグ
ＪＩＳマーク,ジスマーク
適マーク,テキマーク
Ｅメール,イーメール
リーグ戦,リーグセン
プール制,プールセイ
ビール券,ビールケン
ボール紙,ボールガミ
段ボール,ダンボール
紙テープ,カミテープ
生テープ,ナマテープ
レース糸,レースイト
金モール,キンモール
ベビー服,ベビーフク
雨コート,アメコート
前ヨーク,マエヨーク
ベレー帽,ベレーボウ
スキー帽,スキーボウ
ソーダ水,ソーダスイ
生ビール,ナマビール
黒ビール,クロビール
缶ビール,カンビール
ビール瓶,ビールビン
ボール箱,ボールバコ
スキー板,スキーイタ
アーク灯,アークトウ
ボギー車,ボギーシャ
ループ線,ループセン
ムール貝,ムールガイ
ｐＨ,ピーエイチ
ＩＱ,アイキュー
ＩＤ,アイディー
ＣＤ,シーディー
Ｂ級,ビーキュウ
ＤＫ,ディーケー
ＩＴ,アイティー
ＰＲ,ピーアール
ＨＢ,エイチビー
ＡＰＥＣ,エーペック
ｐＨ,ピーエイチ
Ｂクラス,ビークラス
Ｔ字路,ティージロ
ＭＤ,エムディー
ＵＦＯ,ユウフォー
Ａクラス,エークラス
Ａ．Ｄ．,エーディー
